,Nombre del parque eolico,Pais,Departamento / Zona,Ciudad,turbinas eolicas,Altura de las gondolas,Potencia nominal total,Operativo,Parque eolico onshore,Desarrolladores,Operador,Propietario,Fuente,Latitud,Longitud,Sistema geodesico,Localizacion precisa,Puesta en servicio,Desarrollador,Imagenes de Google Maps,Parte,Otro nombre,Propietarios,Altitud,turbina eolica,En construccion,Deshabilitar,Operadores,Sitio web,"direccion de correo electronico a fin de inscribirle al boletin de noticias, estrictamente destinada al envio de los boletines de noticias y por un periodo de tiempo limitado a la duracion de la inscripcion a dichos boletines de noticias.","direccion de correo electronico y nombre de la empresa cuando se soliciten presupuestos o se adquieran productos, unicamente destinados a realizar el seguimiento de los clientes y durante un periodo de tiempo conforme a las obligaciones contables."
151,Cruz I,Espana,Cuenca (Castilla-La Mancha),San Martin de Boniches,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,39 950 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 51' 28.8""","-1° 34' 47.1""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
152,Cruz II,Espana,Cuenca (Castilla-La Mancha),San Martin de Boniches,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,26 350 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 51' 28.8""","-1° 34' 47.1""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
153,Cuesta Colorada,Espana,Cuenca (Castilla-La Mancha),"Tebar, Atalaya Canavete","GE Energy 1.5se (potencia 1 500 kW, diametro 70.5 m)",,49 500 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 27' 58.7""","-2° 12' 20.4""",WGS84,si,2004,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
154,Cueva Blanca,Espana,Las Palmas (Canarias),Agaete,"Made AE-32 (potencia 330 kW, diametro 32 m)",,1 320 kW,,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"28° 6' 14.2""","-15° 41' 28""",WGS84,si,1994,Eolicas de Agaete,Imagenes de Google Maps,,,,,,,Deshabilitar,,,,
155,Curiscao Fase I,Espana,Asturias,"Salas, Valdes","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,42 500 kW,si,si,,HC Energia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 28' 16.2""","-6° 18' 32.3""",WGS84,si,2006,Eolica Curiscao Pumar,Imagenes de Google Maps,,,,,,,,,,,
156,Curiscao Fase II,Espana,Asturias,"Salas, ValdesÂ ","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,6 800 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 28' 16.2""","-6° 18' 32.3""",WGS84,si,2006,Eolica Curiscao Pumar,Imagenes de Google Maps,,,,,,,,,,,
157,Dehesa del Coscojar,Espana,Zaragoza (Aragon),Plasencia de Jalon,"Nordex N43/600 (potencia 600 kW, diametro 43 m)",,15 000 kW,si,si,,Desarrollos Eolicos del Ebro,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 42' 38""","-1° 15' 53.2""",WGS84,si,1999,Nordex,Imagenes de Google Maps,,,,,,,,,,,
158,Dehesa Virginia,Espana,Albacete (Castilla-La Mancha),Romica,"Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,30 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 4' 4.6""","-1° 20' 34.6""",WGS84,si,2007,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
159,Deva,Espana,Pontevedra (Galicia),"Melon (Ourense), Covelo, A Caniza (Pontevedra)","Navantia-Siemens Bonus Mk-IV (potencia 600 kW, diametro 44 m)",,39 600 kW,si,si,,Acciona Energia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 15' 56""","-8° 16' 13.3""",WGS84,si,1997,Acciona Energia,Imagenes de Google Maps,,,Acciona Energia/Eurus Energy,,,,,,,,
160,Do Vilan,Espana,La Coruna (Galicia),Camarinas,"Navantia-Siemens Izar 55/1300 (potencia 1 300 kW, diametro 55 m)",,16 900 kW,si,si,,Eufer,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 8' 57""","-9° 11' 23.7""",WGS84,si,2003,Enel GreenPower,Imagenes de Google Maps,Cabo Vilan,Cabo Vilan,,,,,,,,,
161,Dona Benita Cuellar,Espana,Cadiz (Andalucia),Jerez de la Frontera,"Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,32 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 35' 21.1""","-5° 59' 27.8""",WGS84,si,2009,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
162,Dos Picos,Espana,Palencia (Castilla y Leon),Magaz de Pisuerga,"Made AE-52 (potencia 800 kW, diametro 52 m)",,1 600 kW,si,si,,Gamesa,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 59' 21.1""","-4° 29' 41.4""",WGS84,si,,Made,Imagenes de Google Maps,,,,,,,,,,,
163,EchagÃ¼e,Espana,Navarra,"Oloriz, Unzue","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,23 100 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 40' 13.6""","-1° 35' 48.5""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,(el nombre de la empresa no esta disponible)  ,,,,,,
164,El Acebo,Espana,Asturias,Grandas de Salime,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,17 820 kW,si,si,,,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 8' 53.5""","-6° 57' 28.2""",WGS84,si,2004,,Imagenes de Google Maps,,,,,,,,,,,
165,El Ãguila,Espana,Zaragoza (Aragon),Pedrola,"Nordex N62/1300 (potencia 1 300 kW, diametro 62 m)",,19 500 kW,si,si,,Desarrollos Eolicas el Aguila,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 43' 39.4""","-1° 18' 3.6""",WGS84,si,2001,Nordex,Imagenes de Google Maps,,,,,,,,,,,
166,El Bayo,Espana,Zaragoza (Aragon),"Pedrola, Luceni","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,25 500 kW,si,si,,Molinos del Ebro SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 47' 15""","-1° 19' 16.6""",WGS84,si,2003,Molinos del Ebro SA,Imagenes de Google Maps,,,,300 m,,,,,,,
167,El Bayo,Espana,Zaragoza (Aragon),"Pedrola, Luceni","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,25 500 kW,si,si,,Molinos del Ebro SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 47' 15""","-1° 19' 16.6""",WGS84,si,2003,Molinos del Ebro SA,Imagenes de Google Maps,,,,300 m,,,,,,,
168,El Candal,Espana,Asturias,"Boal, Castropol","Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",67 m,38 000 kW,si,si,,,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 23' 53.7""","-6° 55' 48.2""",WGS84,si,2012,Producciones Energeticas Asturianas SL,Imagenes de Google Maps,,,,,,,,,,,
169,El Cayo,Espana,Soria (Castilla y Leon),"Oncala,Huerteles,S,Pedro Manrique","Made AE-52 (potencia 800 kW, diametro 52 m)",,26 400 kW,si,si,,Cetesa,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 59' 23.2""","-2° 19' 28.8""",WGS84,si,2003,Cetesa,Imagenes de Google Maps,,,,,,,,,,,
170,El Chaparro,Espana,Guadalajara (Castilla-La Mancha),Villaverde del Ducado,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,16 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 0' 50.1""","-2° 30' 20.9""",WGS84,si,2012,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
171,El Conjuro,Espana,Granada (Andalucia),"Motril, Gualchos, Velez Benaudalla, Lujar","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,11 900 kW,si,si,,S.E. Montes del Conjuro,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 48' 41.1""","-3° 29' 35.3""",WGS84,no,2007,S.E. Montes del Conjuro,Imagenes de Google Maps,,,,,,,,,,,
172,El Escambrons,Espana,Lleida (Cataluna),Almatret,"Acciona AW-3000/116 (potencia 3 000 kW, diametro 116 m)",,48 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 17' 13.4""","0° 25' 39.3""",WGS84,si,2013,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
173,El Escepar,Espana,Cuenca (Castilla-La Mancha),Villalba del Rey,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,30 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 22' 44""","-2° 37' 34.5""",WGS84,si,2011,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
174,El Escepar Ampliacion,Espana,Cuenca (Castilla-La Mancha),Villalba del Rey,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,6 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 22' 44""","-2° 37' 34.5""",WGS84,si,2011,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
175,El Hierro,Espana,Zamora (Castilla y Leon),"Olmillos de Castro, Santa Eufemia del BarcoÂ ","Ecotecnia 80 1.6 (potencia 1 670 kW, diametro 80 m)",,23 380 kW,si,si,,Gecal SA,Gecal SA,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 41' 17.7""","-5° 58' 41.7""",WGS84,si,2008,GEZA,Imagenes de Google Maps,,,,,,,,,,,
176,El Moral,Espana,Ciudad Real (Castilla-La Mancha),Moral de Calatrava,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",100 m,40 000 kW,si,si,,Eolia,,http://www.grupoibereolica.es/ENG/detalle_proyecto.aspx?IdElemento=8,"38° 50' 23""","-3° 35' 36""",WGS84,si,2007/06,Eolia,Imagenes de Google Maps,,,Ibereolica/Eolia,,,,,,,,
177,El Moralejo I,Espana,Albacete (Castilla-La Mancha),Romica,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,6 000 kW,si,si,,Eolia,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 0' 19.2""","-1° 22' 11.8""",WGS84,si,2006/05,Iniciativas Eolicas de Alpera,Imagenes de Google Maps,,,,,,,,,,,
178,El Moralejo II,Espana,Albacete (Castilla-La Mancha),AlperaÂ ,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,12 000 kW,si,si,,Eolia,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 0' 19.2""","-1° 22' 11.8""",WGS84,si,2006/05,Iniciativas Eolicas de Alpera,Imagenes de Google Maps,,,,,,,,,,,
179,El Negredo,Espana,Burgos (Castilla y Leon),Merindad de Rio UbiernaÂ ,"Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",80 m,18 000 kW,si,si,,Eolia,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 35' 12.7""","-3° 44' 9.5""",WGS84,si,2007/10,Eolia,Imagenes de Google Maps,,,,,,,,,,,
180,El Nogal,Espana,Burgos (Castilla y Leon),"Carcedo de Burgos, CardenadijoÂ ","Vestas V80/2000 (potencia 2 000 kW, diametro 80 m)",60 m,24 000 kW,si,si,,Ventient Energy,Ventient Energy,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 18' 12.6""","-3° 38' 5.7""",WGS84,si,2006,EDP Renovaveis,Imagenes de Google Maps,,,,,,,,,,,
181,El Paramo,Espana,Burgos (Castilla y Leon),Alfoz de QuintanaduenasÂ ,"GE Energy 1.5sle (potencia 1 500 kW, diametro 77 m)",80 m,24 000 kW,si,si,,Eolia,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 23' 31""","-3° 45' 39.4""",WGS84,si,2007/10,Eolia,Imagenes de Google Maps,,,,,,,,,,,
182,El Peralejo,Espana,Cuenca (Castilla-La Mancha),"Villalba del Rey, Tinajas","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,20 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 21' 5""","-2° 36' 34.6""",WGS84,si,2011,Acciona Energia,Imagenes de Google Maps,Ampliacion,,,,,,,,,,
183,El Peralejo,Espana,Cuenca (Castilla-La Mancha),"Villalba del Rey, Tinajas","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,20 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 21' 5""","-2° 36' 34.6""",WGS84,si,2011,Acciona Energia,Imagenes de Google Maps,Ampliacion,,,,,,,,,,
184,El Perdon,Espana,Navarra,"Zariquiegui, Astrain",Gamesa ,,18 500 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 43' 47.9""","-1° 44' 23.9""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
185,El Perdon,Espana,Navarra,"Zariquiegui, Astrain",Gamesa ,,18 500 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 43' 47.9""","-1° 44' 23.9""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
186,El Perul,Espana,Burgos (Castilla y Leon),"Valladiego, Urbel del Castillo","Ecotecnia 74 (potencia 1 670 kW, diametro 74 m)",,51 770 kW,si,si,PE La BogaÂ SL/Cobra,ACS,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 34' 40.2""","-3° 51' 59.8""",WGS84,si,2005,,Imagenes de Google Maps,,,,,,,,,,,
187,El Pical,Espana,Palencia (Castilla y Leon),Barruelo de Santillan,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,19 140 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 54' 35.9""","-4° 16' 11.9""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,(el nombre de la empresa no esta disponible)  ,,,,,,
188,El Pical,Espana,Palencia (Castilla y Leon),Barruelo de Santillan,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,19 140 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 54' 35.9""","-4° 16' 11.9""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,(el nombre de la empresa no esta disponible)  ,,,,,,
189,El Puerto (Unificado),Espana,Teruel (Aragon),Cuevas de Almaden,"Made AE-46/I (potencia 660 kW, diametro 46 m)",,25 080 kW,si,si,,Exploitaciones Eolicas el Puerto,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 45' 56.5""","-0° 48' 1.4""",WGS84,si,2003,Exploitaciones Eolicas el Puerto,Imagenes de Google Maps,,,,,,,,,,,
190,El Pulpal,Espana,Soria (Castilla y Leon),"Hinojosa del Campo, Ãlvega, Pozalmuro","Neg Micon NM48/750 (potencia 750 kW, diametro 48.2 m)",,17 250 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 46' 12""","-2° 1' 47.9""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
191,El Puntal,Espana,Malaga (Andalucia),Sierra de YeguasÂ ,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",67 m,6 000 kW,si,si,Enel GreenPower/GEYPE,Lorte SL,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 10' 11.4""","-4° 50' 47.2""",WGS84,si,2011,GEYPE,Imagenes de Google Maps,,,,,,,,,,,
192,El Puntal,Espana,Malaga (Andalucia),Sierra de YeguasÂ ,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",67 m,6 000 kW,si,si,Enel GreenPower/GEYPE,Lorte SL,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 10' 11.4""","-4° 50' 47.2""",WGS84,si,2011,GEYPE,Imagenes de Google Maps,,,,,,,,,,,
193,El Raso,Espana,Palencia (Castilla y Leon),Fuentes de Valdepero,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,4 500 kW (downrated turbines),si,si,,Eolica El Raso S.L.,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 3' 50""","-4° 26' 56.3""",WGS84,si,2013,Eolica El Raso S.L.,Imagenes de Google Maps,,,,,,,,,,,
194,El Rebollar,Espana,Palencia (Castilla y Leon),Hontoria de Cerrato,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,6 000 kW,si,si,,Eolica Mirasierra,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 55' 4.6""","-4° 22' 48.4""",WGS84,si,2013,Eolica Mirasierra,Imagenes de Google Maps,,,,,,,,,,,
195,El Rincon,Espana,Avila (Castilla y Leon),"San Juan del Olmo, BalbardaÂ ","Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,8 000 kW,si,si,,Eolica Sierra de Avila,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 38' 13""","-5° 0' 37.6""",WGS84,si,2013,Eolica Sierra de Avila,Imagenes de Google Maps,,,,,,,,,,,
196,El Saucito,Espana,Huelva (Andalucia),El AlmendroÂ ,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",78 m,26 000 kW,si,si,Gamesa/Iberdrola Renewables,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 34' 48.8""","-7° 8' 45.1""",WGS84,si,2009,,Imagenes de Google Maps,,,,,,,,,,,
197,El Saucito,Espana,Huelva (Andalucia),El AlmendroÂ ,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",78 m,26 000 kW,si,si,Gamesa/Iberdrola Renewables,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 34' 48.8""","-7° 8' 45.1""",WGS84,si,2009,,Imagenes de Google Maps,,,,,,,,,,,
198,El Segredal,Espana,Asturias,Villayon,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,36 000 kW,si,si,,Cantaber Generacion Eolica SL,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 25' 16.8""","-6° 39' 55""",WGS84,si,2012,Cantaber Generacion Eolica SL,Imagenes de Google Maps,,,,,,,,,,,
199,El Tablado,Espana,Soria (Castilla y Leon),"Borobia, Beraton","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",45 m,19 800 kW,si,si,,Sistemas Energeticos el Moncayo,Eolica Navarra,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 41' 34.9""","-1° 50' 3.8""",WGS84,si,1999,Sistemas Energeticos el Moncayo,Imagenes de Google Maps,,,,1500 m,,,,,,,
200,El Teruelo,Espana,Palencia (Castilla y Leon),"Melgar de Yuso, Villodre, Astudillo","Gamesa G58/850 (potencia 850 kW, diametro 58 m)",,43 350 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 13' 11.9""","-4° 16' 11.9""",WGS84,si,2008,Iberdrola Renewables,Imagenes de Google Maps,,,,800 m,,,,,,,
201,El Toranzo,Espana,Soria (Castilla y Leon),Cueva de Agreda-Borobia,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",45 m,19 800 kW,si,si,,Hidromedia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 43' 5.7""","-1° 55' 1.7""",WGS84,si,1999,Hidromedia,Imagenes de Google Maps,,,,1500 m,,,,,,,
202,El Toranzo Ampliacion,Espana,Soria (Castilla y Leon),Olvega Borobia,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",45 m,7 260 kW,si,si,,Hidromedia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 43' 5.7""","-1° 55' 1.7""",WGS84,si,1999,Hidromedia,Imagenes de Google Maps,,,,1500 m,,,,,,,
203,El Viudo I,Espana,Valencia (Comunidad Valenciana),La Yesa,"GE Energy 2.5xl (potencia 2 500 kW, diametro 100 m)",,40 000 kW,si,si,Santa Catalina/Cobra,Santa Catalina,Saeta Yield,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 56' 28.5""","-0° 55' 16.2""",WGS84,si,2011,,Imagenes de Google Maps,,,,,,,,,,,
204,El Viudo II,Espana,Valencia (Comunidad Valenciana),La Yesa,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",78 m,26 000 kW,si,si,Santa Catalina/Cobra,Energias y recursos ambientales,Saeta Yield,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 55' 46.4""","-0° 55' 34.9""",WGS84,si,2011,,Imagenes de Google Maps,,,,,,,,,,,
205,Elgea,Espana,Alava (Euskadi),"Onati, Aretxabaleta","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,24 420 kW,si,si,,Eolicas de Euskadi,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 57' 45.1""","-2° 29' 21.1""",WGS84,si,2000,Eolicas de Euskadi,Imagenes de Google Maps,,,,,,,,,,,
206,Elgea Ampliacion,Espana,Guipuzkoa (Euskadi),"Onati, Aretxabaleta","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,2 550 kW,si,si,,Eolicas de Euskadi,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 57' 39.4""","-2° 29' 52""",WGS84,si,2001,Eolicas de Euskadi,Imagenes de Google Maps,,,,,,,,,,,
207,Elgea-Urkilla,Espana,Alava (Euskadi),"Barundia, Donemiliaga","Gamesa G58/850 (potencia 850 kW, diametro 58 m)",,32 300 kW,si,si,,Eolicas de Euskadi,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 57' 27.1""","-2° 26' 45""",WGS84,si,2003,Eolicas de Euskadi,Imagenes de Google Maps,,,,,,,,,,,
208,Entredicho,Espana,Zaragoza (Aragon),Fuendetodos,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,36 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 19' 34.9""","-0° 56' 50.8""",WGS84,si,2004,Iberdrola Renewables,Imagenes de Google Maps,,,,800 m,,,,,,,
209,Epina,Espana,SC Tenerife (La Gomera),Vallehermoso (La Gomera),"Made AE-23 (potencia 180 kW, diametro 23 m)",,360 kW,si,si,,Enel GreenPower,,,"28° 10' 11""","-17° 18' 21.6""",WGS84,si,1996,Enel GreenPower,Imagenes de Google Maps,,,,,,,,,,,
210,Es Mila,Espana,Baleares,MenorcaÂ ,"Made AE-59 (potencia 800 kW, diametro 59 m)",,3 200 kW,si,si,,Consorcio RSU Menorca,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 55' 4.5""","4° 15' 33.5""",WGS84,si,2004,Consorcio RSU Menorca,Imagenes de Google Maps,,,,,,,,,,,
211,Escucha (Unificado),Espana,Teruel (Aragon),Escucha,"Made AE-46/I (potencia 660 kW, diametro 46 m)",,19 140 kW,si,si,,Exploitaciones Eolicas de Escucha,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 46' 12""","-0° 50' 23.9""",WGS84,si,2001,Exploitaciones Eolicas de Escucha,Imagenes de Google Maps,,,,,,,,,,,
212,Escurrillo,Espana,Logrono (La Rioja),"Villaroya, Quel, Autol","GE Energy 1.5se (potencia 1 500 kW, diametro 70.5 m)",61.5 m,49 500 kW,si,si,Iberdrola Renewables/Eolicas de La Rioja,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 15' 30.8""","-2° 11' 49.2""",WGS84,si,2002,,Imagenes de Google Maps,,,,,,,,,,,
213,Experimental Barasoain,Espana,Navarra,,"Acciona AW-3000/100 (potencia 3 000 kW, diametro 100 m)",,3 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 36' 23""","-1° 40' 39.7""",WGS84,si,2013/12,Acciona Energia,Imagenes de Google Maps,,,,,"Acciona AW-3000/116 (potencia 3 000 kW, diametro 116 m)",,,,,,
214,Experimental Barasoain,Espana,Navarra,,"Acciona AW-3000/100 (potencia 3 000 kW, diametro 100 m)",,3 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 36' 23""","-1° 40' 39.7""",WGS84,si,2013/12,Acciona Energia,Imagenes de Google Maps,,,,,"Acciona AW-3000/116 (potencia 3 000 kW, diametro 116 m)",,,,,,
215,Experimental Barasoain,Espana,Navarra,,"Acciona AW-3000/100 (potencia 3 000 kW, diametro 100 m)",,3 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 36' 23""","-1° 40' 39.7""",WGS84,si,2013/12,Acciona Energia,Imagenes de Google Maps,,,,,"Acciona AW-3000/116 (potencia 3 000 kW, diametro 116 m)",,,,,,
216,Experimental Vedadillo,Espana,Navarra,Falces,"Acciona AW-3000/100 (potencia 3 000 kW, diametro 100 m)",,9 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 23' 56.8""","-1° 50' 4.9""",WGS84,si,2005,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
